sep=,
time_ms,cost_min
868.7,278.706515
872.8,278.251159
876.9,277.934949
881.0,277.859709
884.6,277.475221
888.6,277.467073
892.6,277.388568
896.5,276.743228
900.0,276.607445
903.9,276.147268
907.8,275.917064
911.7,275.751120
915.5,275.127637
919.4,273.761627
922.2,273.347959
924.6,273.074719
927.2,272.810047
929.3,272.761852
931.7,271.833883
933.1,271.466988
935.5,270.868526
938.0,270.857286
940.1,270.737203
942.1,270.682531
944.5,270.462179
947.1,270.234865
950.2,270.162229
954.1,269.884548
958.0,269.554626
962.0,268.946183
965.3,268.926466
968.7,268.828841
972.0,268.766443
975.4,268.133920
978.4,267.987640
981.8,267.551275
985.1,267.495228
988.6,267.221798
992.1,267.171132
995.7,267.008501
999.1,266.559358
1002.4,266.483919
1005.8,266.363197
1009.6,266.075223
1013.4,266.072133
1016.2,266.059384
1018.6,265.860364
1023.4,265.618489
1028.1,265.383535
1030.4,265.376046
1032.4,264.701062
1034.4,264.614849
1036.2,264.377372
1037.9,263.977957
1042.0,263.807628
1043.8,263.661842
1047.6,263.525131
1050.2,263.328928
1052.7,262.343474
1054.8,261.822785
1056.8,261.814172
1061.1,261.676424
1065.5,260.880564
1073.6,260.435312
1076.0,260.352602
1078.6,259.838585
1081.2,259.798467
1085.2,259.751589
1088.7,259.744230
1093.4,259.284886
1094.9,259.269059
1097.2,259.192309
1099.5,259.137611
1101.3,259.122342
1105.4,259.087230
1111.6,259.044865
1117.8,258.981599
1121.8,258.778038
1125.8,258.481132
1133.2,258.200907
1137.3,257.984051
1141.3,257.776051
1145.3,257.701865
1149.2,257.223873
1153.2,257.175083
1156.8,256.817400
1160.9,255.601220
1164.5,255.271636
1167.1,255.199569
1169.9,255.151207
1172.2,255.040241
1174.9,254.948691
1178.4,254.754542
1181.6,254.750901
1185.2,254.311181
1188.3,254.077425
1191.5,253.970057
1194.6,253.702834
1197.8,253.080421
1200.5,252.403152
1204.0,252.171686
1207.1,250.830012
1210.2,250.719945
1213.7,250.491986
1217.2,249.760521
1220.6,249.714196
1224.0,249.592019
1227.3,248.998894
1230.7,248.875071
1234.1,248.538256
1237.5,248.160857
1240.9,248.013789
1243.9,247.825189
1247.3,247.395920
1250.7,247.115801
1254.0,246.625019
1257.0,246.448968
1259.6,246.419846
1262.6,246.182375
1265.9,245.838096
1269.3,245.799996
1272.7,244.833907
1275.7,244.000241
1278.7,243.974142
1282.2,243.184899
1285.2,242.922917
1288.2,242.038353
1291.6,242.009842
1294.9,241.401494
1297.9,240.998374
1300.9,240.980347
1304.1,240.763033
1307.1,240.727741
1312.4,240.585512
1315.4,240.344435
1318.7,240.163602
1322.1,238.637548
1325.4,237.709713
1328.9,237.574868
1332.4,237.360514
1336.4,237.288156
1340.2,237.030406
1343.6,237.020722
1347.5,236.611217
1351.3,236.297339
1355.1,235.999894
1358.7,235.758181
1361.3,235.702054
1363.3,235.605024
1367.8,235.592059
1371.4,235.568094
1373.4,235.002998
1375.1,234.980357
1376.8,234.719787
1380.4,234.714227
1384.6,234.652264
1386.6,234.337850
1388.8,234.162754
1392.1,234.081849
1395.5,234.013338
1398.8,233.866367
1401.4,233.696681
1406.9,233.695576
1411.0,233.657704
1413.8,233.584499
1416.1,233.260250
1417.9,233.207214
1425.9,231.665061
1445.0,231.215507
1448.2,231.104387
1452.5,230.932696
1456.4,230.844477
1460.2,230.695205
1463.6,230.458607
1466.5,230.323898
1470.0,229.986585
1473.7,229.934775
1477.5,229.788486
1481.3,229.787595
1485.3,229.731890
1488.8,229.374096
1492.7,229.352952
1496.6,229.345268
1500.7,229.189347
1504.8,228.954306
1508.9,228.938008
1513.0,228.424799
1517.0,228.286954
1520.9,227.017459
1524.8,226.912627
1528.9,225.750383
1532.8,225.716499
1536.7,225.632911
1540.2,225.579162
1543.7,224.837610
1547.1,224.538937
1550.8,224.264747
1554.7,224.098109
1558.1,224.088150
1562.1,223.929728
1565.9,223.888420
1569.7,223.843098
1573.5,223.808994
1577.3,223.772256
1581.3,223.621719
1585.1,222.888306
1588.2,222.554734
1591.2,222.487788
1593.3,222.029535
1595.4,221.963490
1597.7,221.910460
1599.1,221.874172
1601.4,221.770614
1603.1,221.453094
1604.8,221.226834
1607.8,220.616236
1611.6,220.564057
1613.6,220.506506
1616.4,220.467070
1620.1,220.459362
1623.7,220.229150
1625.6,219.716180
1628.2,219.555997
1631.1,219.435424
1634.0,219.366686
1637.3,218.936977
1640.2,218.653928
1666.3,217.901360
1669.0,217.900619
1671.6,217.514405
1673.8,217.244227
1683.1,216.965329
1686.0,216.808432
1689.0,216.786042
1691.6,216.747709
1693.7,216.462119
1696.7,216.446767
1700.1,216.303075
1703.9,215.785861
1707.7,215.749238
1715.8,215.511351
1718.7,215.502327
1722.1,215.334620
1725.6,215.281590
1729.2,215.210772
1732.4,215.190711
1735.6,215.153510
1739.3,215.010194
1743.3,214.301395
1747.2,214.141645
1749.6,213.879328
1751.3,213.876239
1765.6,213.798189
1769.7,213.625354
1773.5,213.610620
1780.1,213.542973
1783.6,213.356743
1786.9,212.895377
1790.7,212.811104
1794.6,212.710268
1798.5,212.626180
1802.2,212.478637
1806.0,212.291542
1809.9,212.171876
1813.4,212.124921
1816.7,212.111389
1820.1,212.092022
1823.9,212.014216
1827.7,211.977414
1830.6,211.948171
1833.5,211.895641
1836.8,211.763908
1840.1,211.744465
1845.0,211.670787
1847.7,211.514441
1850.9,211.494962
1853.1,211.452201
1856.5,211.443458
1860.4,210.951473
1893.0,210.766901
1898.6,209.626911
1901.6,209.322907
1906.7,208.107651
1910.1,207.861777
1914.0,207.635903
1917.8,207.061165
1921.6,207.036476
1925.4,206.687011
1928.4,206.668988
1931.8,206.557712
1934.7,206.535376
1937.7,206.481658
1941.5,206.301485
1945.2,206.126296
1949.0,205.486727
1952.0,205.450625
1953.7,205.302781
1955.1,205.072707
1956.2,205.068838
1957.6,204.793719
1959.2,204.670062
1965.2,204.657459
1969.2,204.372806
1972.3,204.247460
1978.5,204.244525
1981.3,204.186448
1986.4,204.183940
1990.0,204.125550
1991.1,204.112153
1993.0,204.072022
1995.4,204.055139
