sep=,
time_ms,cost_min
1172.0,253.702834
1173.7,253.080421
1185.1,252.403152
1186.2,252.171686
1186.9,250.830012
1198.0,250.719945
1199.2,250.491986
1212.6,249.760521
1214.4,249.714196
1215.9,249.592019
1219.3,248.998894
1221.1,248.875071
1223.4,248.538256
1225.7,248.160857
1226.9,248.013789
1229.9,247.825189
1242.1,247.395920
1244.0,247.115801
1245.7,246.625019
1258.1,246.448968
1259.7,246.419846
1261.2,246.182375
1263.7,245.838096
1265.4,245.799996
1267.8,244.833907
1270.7,244.000241
1284.0,243.974142
1285.8,243.184899
1288.9,242.922917
1291.1,242.038353
1293.7,242.009842
1296.6,241.401494
1299.6,240.998374
1300.8,240.980347
1314.4,240.763033
1315.6,240.727741
1327.1,240.585512
1329.0,240.344435
1330.5,240.163602
1342.0,238.637548
1343.9,237.709713
1345.7,237.574868
1347.5,237.360514
1348.4,237.288156
1359.6,237.030406
1361.5,237.020722
1374.2,236.611217
1376.1,236.297339
1378.1,235.999894
1379.4,235.758181
1382.0,235.702054
1382.8,235.605024
1384.9,235.592059
1386.9,235.568094
1387.9,235.002998
1399.6,234.980357
1400.6,234.719787
1413.1,234.714227
1414.9,234.652264
1416.4,234.337850
1417.0,234.162754
1418.7,234.081849
1420.0,234.013338
1421.2,233.866367
1422.5,233.696681
1425.3,233.695576
1428.0,233.657704
1429.5,233.584499
1431.0,233.260250
1432.0,233.207214
1444.6,231.665061
1461.0,231.215507
1462.9,231.104387
1467.3,230.932696
1479.5,230.844477
1481.3,230.695205
1481.8,230.276686
1482.7,229.335253
1483.7,228.331554
1495.6,228.316931
1497.2,228.312937
1511.0,228.276804
1512.9,227.973478
1514.4,227.832307
1516.3,227.601211
1518.6,227.561899
1536.5,227.507241
1537.8,227.017459
1539.7,226.912627
1543.7,225.750383
1546.9,225.716499
1548.6,225.632911
1549.6,225.579162
1551.2,224.837610
1553.6,224.538937
1566.0,224.264747
1567.9,224.098109
1569.0,224.088150
1580.7,223.929728
1582.6,223.888420
1584.3,223.843098
1585.7,223.808994
1587.0,223.772256
1587.8,223.621719
1588.4,222.888306
1589.3,222.554734
1600.6,222.487788
1602.4,222.029535
1604.3,221.963490
1605.9,221.910460
1607.1,221.874172
1608.5,221.770614
1609.3,221.453094
1610.6,221.226834
1623.4,220.616236
1625.0,220.564057
1627.0,220.506506
1638.6,220.467070
1640.5,220.459362
1643.6,220.229150
1644.8,219.716180
1646.0,219.555997
1646.6,219.435424
1647.8,219.366686
1659.9,218.936977
1661.7,218.653928
1678.9,217.901360
1680.1,217.900619
1681.6,217.514405
1682.5,217.244227
1694.6,216.965329
1695.6,216.808432
1706.4,216.786042
1708.4,216.747709
1710.4,216.462119
1712.5,216.446767
1725.2,216.303075
1727.1,215.785861
1728.4,215.749238
1744.0,215.511351
1745.8,215.502327
1747.2,215.334620
1748.0,215.281590
1749.0,215.210772
1749.6,215.190711
1763.4,215.153510
1765.2,215.010194
1766.7,214.301395
1767.8,214.141645
1786.5,213.879328
1787.7,213.876239
1799.3,213.798189
1801.2,213.625354
1814.5,213.610620
1817.9,213.542973
1829.7,213.356743
1831.6,212.895377
1834.4,212.811104
1846.4,212.710268
1848.2,212.626180
1850.9,212.478637
1863.6,212.291542
1865.4,212.171876
1868.0,212.124921
1882.7,212.111389
1884.3,212.092022
1885.5,212.014216
1886.1,211.977414
1888.0,211.948171
1899.9,211.895641
1901.7,211.763908
1916.4,211.744465
1917.4,211.670787
1918.8,211.514441
1930.2,211.494962
1931.3,211.452201
1942.7,211.443458
1944.3,210.951473
1963.3,210.408873
1965.0,210.185282
1966.8,209.752786
1968.4,209.685944
1980.2,209.682159
1981.3,209.626911
1981.6,209.599207
1982.7,209.527943
1994.2,209.322907
1995.6,208.107651
1996.9,207.861777
1997.8,207.635903
1998.9,207.061165
2010.4,207.036476
2012.2,206.687011
2014.5,206.668988
2015.9,206.557712
2016.3,206.535376
2027.8,206.481658
2029.4,206.301485
2031.3,206.126296
2032.2,205.486727
2045.2,205.450625
2046.9,205.302781
2048.0,205.072707
2048.6,205.068838
2049.0,204.793719
2060.9,204.670062
2062.3,204.657459
2062.9,204.372806
2064.5,204.247460
2076.2,204.244525
2077.8,204.186448
2092.5,204.183940
2093.7,204.125550
2095.2,204.112153
2097.1,203.145485
2109.5,203.010206
2110.6,202.523216
2121.2,201.666669
2133.5,201.145349
2134.7,200.987989
2146.9,200.627573
2147.7,200.405045
2159.6,200.352011
2175.8,195.510152
2177.5,194.913549
2189.5,194.716887
2191.4,194.222456
2192.7,193.861948
2193.5,193.505388
2193.9,193.198682
2195.1,193.101006
2207.3,192.966660
2210.6,192.783010
2211.3,192.778214
2223.7,192.494174
2225.2,192.490268
2227.3,192.226925
2228.5,192.217339
2239.9,192.205519
2241.5,191.418393
2243.2,191.189157
2245.0,191.071601
2256.6,190.638133
2258.0,190.134162
2260.0,189.765834
2271.9,189.393606
2273.3,188.787894
2284.4,188.511825
2285.8,188.334109
2297.5,187.886971
2299.2,187.874461
2300.9,187.854672
2314.5,187.695952
2315.9,187.529124
2343.3,186.809307
2345.0,186.424749
2422.9,186.081601
2434.0,185.641766
2434.7,184.819884
2446.9,184.795680
2448.6,184.776790
2461.2,184.453759
2462.9,184.239180
2464.8,184.151446
2497.5,184.034259
2499.4,183.906644
2500.8,183.702771
2502.2,183.681909
2515.7,183.480684
2517.4,183.457432
2519.7,183.362782
2520.3,183.193371
2532.7,182.997432
2533.3,182.651366
2534.8,182.103893
2536.0,181.986536
2536.9,181.950728
2538.2,180.935987
2550.7,180.856568
2551.7,180.821062
2553.3,180.671791
2553.9,180.442810
2565.0,180.249127
2566.5,180.098286
2567.9,180.021629
2568.9,180.001194
2580.2,179.772010
2582.0,179.369389
2595.7,179.336225
2596.5,178.943602
2598.1,178.526038
2601.0,178.467062
2613.6,178.261649
2614.5,177.971953
2615.7,177.643572
2617.5,177.519587
2618.8,177.100154
2619.3,176.910843
2620.1,176.305031
2631.6,176.077566
2632.8,176.066813
2633.3,175.288808
2644.1,175.287268
2645.2,174.718348
2656.9,174.685116
2658.3,174.611875
2671.0,174.600382
2672.0,174.563977
2673.4,174.326012
2685.5,174.177093
2686.5,173.973673
2698.5,173.961384
2699.6,173.862218
2700.8,173.854627
2711.8,173.640791
2713.7,173.560556
2728.4,173.468081
2729.2,173.350295
2730.3,173.245700
2742.0,173.124775
2742.6,173.120102
2743.6,172.741666
2745.0,172.514504
2745.7,171.837990
2757.1,171.668115
2758.6,171.653481
2760.5,171.633744
2772.9,171.623449
2786.0,171.567821
2787.2,171.518748
2798.6,171.505795
2800.4,171.434992
2813.5,171.368463
2824.8,171.360410
2826.1,171.329935
2837.3,171.114230
2838.6,171.071872
2839.6,170.934138
2852.3,170.495538
2855.0,170.490792
2880.5,170.485587
2881.5,170.363276
2892.9,170.355590
2893.9,170.299575
2906.6,170.298095
2944.8,170.202432
2946.1,170.062219
2958.8,170.012657
2960.4,169.993516
2973.3,169.985633
2974.7,169.928334
2986.4,169.893833
2987.9,169.864980
2989.9,169.771037
3002.6,169.699580
3014.7,169.483079
3016.2,169.404675
3017.5,169.320858
3019.2,169.086684
3032.8,169.028050
3044.7,168.960989
3046.2,168.570650
3048.8,168.556842
3060.5,168.554859
3062.1,168.474308
3077.0,168.253248
3077.9,168.138522
3079.0,168.135543
3090.4,168.106292
3091.8,167.885038
3093.5,167.836834
3124.3,167.676687
3317.3,167.671500
3318.2,167.595971
3329.9,167.554593
3330.6,167.480524
3341.6,167.253167
3494.3,167.083208
3495.3,166.857143
3506.7,166.784806
3507.6,166.779666
3560.5,166.683732
3572.4,166.622462
3585.1,166.579960
3586.3,166.271560
3598.4,166.256759
3609.9,166.243740
3610.6,166.223365
3623.1,166.206426
3754.0,166.120063
3755.0,166.047675
3766.2,166.010903
3778.6,165.766625
3779.5,165.760998
3791.1,165.665738
3792.1,165.624612
3803.7,165.620985
3804.9,165.619151
3815.8,165.429277
3817.0,165.380688
3829.5,165.302501
3830.6,165.231373
3841.6,165.223082
3842.6,165.089382
3854.1,164.991653
3855.3,164.750515
3866.8,164.668188
3867.9,164.662542
3893.5,164.659207
3894.8,164.581765
3919.3,164.546852
3920.2,164.429761
3932.5,164.427182
3933.7,164.359439
3944.8,164.345198
3946.0,164.341746
3947.0,164.321137
3958.7,164.320072
4043.0,164.221169
4054.5,164.219019
4066.0,164.182351
4066.8,164.156137
4077.9,164.127768
4078.9,164.114928
4125.1,164.045728
4126.2,164.005801
4138.0,163.800121
4149.3,163.770090
4150.3,163.462556
4161.6,163.309339
4197.7,163.198304
4220.1,162.928489
4242.5,162.915306
4243.1,162.872673
4255.1,162.795195
4266.6,162.766826
4277.7,162.701200
4278.4,162.690090
4289.4,162.665240
4999.5,162.623991
5010.4,162.576413
5026.5,162.566765
5037.5,162.411748
5038.1,162.336697
5049.8,162.299216
5050.6,162.258740
5062.1,162.174158
5063.2,162.110256
5063.5,161.987558
5074.5,161.939158
5074.7,161.829880
5086.4,161.738400
5109.8,161.454353
5110.4,161.373909
5121.5,160.612912
5122.3,160.455234
5155.9,160.453444
5156.6,160.442199
5168.0,160.310951
5179.3,160.279924
5180.1,160.131589
5191.1,160.120817
5203.0,160.100866
5203.7,159.935478
5215.3,159.879009
5258.7,159.872774
5269.7,159.868637
5369.6,159.703684
5370.3,159.584647
5381.2,159.531456
5404.5,159.529965
5421.1,159.516325
5432.1,159.425529
5669.8,159.420858
6177.2,159.420503
6225.9,159.369059
6253.4,159.362550
6264.6,159.354419
6265.0,159.354293
6616.4,159.331044
7620.9,159.319973
7631.3,159.114199
8153.3,159.046936
8153.5,159.037904
8164.2,159.036840
8164.4,159.006049
8175.0,158.929734
8175.2,158.919893
8185.8,158.863845
8185.9,158.843196
8232.4,158.809161
8232.7,158.771955
8248.4,158.767245
9057.8,158.712219
9068.4,158.645496
9068.7,158.596124
9079.4,158.566093
9269.7,158.557914
9285.6,158.502928
9333.8,158.460302
9344.4,158.441891
9344.7,158.335923
9355.4,158.329032
9355.6,158.229957
9366.3,158.200126
9366.5,158.187434
9387.3,158.083561
9440.9,158.063455
9441.1,157.962560
9467.4,157.961069
